,State,1,Crop,3,District,Year,Season,16,Area (ha),22,23,Production (t),27,29,Yield (t/ha)
0,,,Masoor,,,,,,,,,,,,
1,,,,,MUZAFFARNAGAR,,,,,,,,,,
2,,,,,,2010-11,Rabi,,529.0,,,268.0,,,0.5066162570888468
3,,,,,,2011-12,Rabi,,337.0,,,156.0,,,0.4629080118694362
4,,,,,,2012-13,Rabi,,247.0,,,237.0,,,0.9595141700404858
5,,,,,,2013-14,Rabi,,267.0,,,213.0,,,0.797752808988764
6,,,,,NAINITAL,,,,,,,,,,
7,,,,,,1998-99,Rabi,,508.0,,,368.0,,,0.7244094488188977
8,,,,,PILIBHIT,,,,,,,,,,
9,,,,,,1998-99,Rabi,,6462.0,,,3732.0,,,0.5775301764159703
10,,,,,,2000-01,Rabi,,6163.0,,,5445.0,,,0.8834982962842771
11,,,,,,2001-02,Rabi,,5505.0,,,3496.0,,,0.6350590372388738
12,,,,,,2002-03,Rabi,,5548.0,,,3573.0,,,0.6440158615717375
13,,,,,,2003-04,Rabi,,5027.0,,,3368.0,,,0.6699820966779392
14,,,,,,2006-07,Rabi,,2886.0,,,1509.0,,,0.5228690228690229
15,,,,,,2007-08,Rabi,,3267.0,,,3318.0,,,1.0156106519742882
16,,,,,,2008-09,Rabi,,2558.0,,,2328.0,,,0.910086004691165
17,,,,,,2009-10,Rabi,,3449.0,,,2912.0,,,0.8443026964337489
18,,,,,,2010-11,Rabi,,3403.0,,,2893.0,,,0.8501322362621216
19,,,,,,2011-12,Rabi,,2363.0,,,2292.0,,,0.9699534490055015
20,,,,,,2012-13,Rabi,,2092.0,,,2110.0,,,1.008604206500956
21,,,,,,2013-14,Rabi,,1701.0,,,1650.0,,,0.9700176366843033
22,,,,,PITHORAGARH,,,,,,,,,,
23,,,,,,1998-99,Rabi,,5870.0,,,4256.0,,,0.7250425894378195
24,,,,,PRATAPGARH,,,,,,,,,,
25,,,,,,1998-99,Rabi,,16.0,,,13.0,,,0.8125
26,,,,,,2000-01,Rabi,,18.0,,,8.0,,,0.4444444444444444
27,,,,,,2001-02,Rabi,,22.0,,,15.0,,,0.6818181818181819
28,,,,,,2002-03,Rabi,,16.0,,,16.0,,,1.0
29,,,,,,2003-04,Rabi,,17.0,,,17.0,,,1.0
30,,,,,,2006-07,Rabi,,16.0,,,11.0,,,0.6875
31,,,,,,2007-08,Rabi,,19.0,,,16.0,,,0.8421052631578948
32,,,,,,2008-09,Rabi,,88.0,,,70.0,,,0.7954545454545454
33,,,,,,2009-10,Rabi,,122.0,,,93.0,,,0.7622950819672131
34,,,,,,2010-11,Rabi,,96.0,,,28.0,,,0.2916666666666667
35,,,,,,2011-12,Rabi,,125.0,,,103.0,,,0.8240000000000001
36,,,,,,2012-13,Rabi,,64.0,,,55.0,,,0.859375
37,,,,,,2013-14,Rabi,,33.0,,,18.0,,,0.5454545454545454
38,,,,,RAEBARELI,,,,,,,,,,
39,,,,,,1998-99,Rabi,,91.0,,,75.0,,,0.8241758241758242
40,,,,,,2000-01,Rabi,,134.0,,,144.0,,,1.0746268656716418
41,,,,,,2001-02,Rabi,,163.0,,,113.0,,,0.6932515337423313
42,,,,,,2002-03,Rabi,,182.0,,,146.0,,,0.8021978021978022
43,,,,,,2003-04,Rabi,,269.0,,,216.0,,,0.8029739776951673
44,,,,,,2006-07,Rabi,,297.0,,,217.0,,,0.7306397306397306
45,,,,,,2007-08,Rabi,,211.0,,,173.0,,,0.8199052132701422
46,,,,,,2008-09,Rabi,,265.0,,,220.0,,,0.8301886792452831
47,,,,,,2009-10,Rabi,,337.0,,,276.0,,,0.8189910979228486
48,,,,,,2010-11,Rabi,,101.0,,,88.0,,,0.8712871287128714
49,,,,,,2011-12,Rabi,,91.0,,,76.0,,,0.8351648351648352
50,,,,,,2012-13,Rabi,,61.0,,,50.0,,,0.819672131147541
51,UTTAR PRADESH,,,,,,,,,,,,,,
52,,,Masoor,,,,,,,,,,,,
53,,,,,RAEBARELI,,,,,,,,,,
54,,,,,,2013-14,Rabi,,38.0,,,27.0,,,0.7105263157894737
55,,,,,RAMABAI NAGAR,,,,,,,,,,
56,,,,,,2003-04,Rabi,,202.0,,,182.0,,,0.900990099009901
57,,,,,,2006-07,Rabi,,489.0,,,594.0,,,1.2147239263803682
58,,,,,,2007-08,Rabi,,500.0,,,303.0,,,0.606
59,,,,,,2008-09,Rabi,,424.0,,,374.0,,,0.8820754716981132
60,,,,,,2009-10,Rabi,,616.0,,,494.0,,,0.801948051948052
61,,,,,,2010-11,Rabi,,467.0,,,526.0,,,1.1263383297644538
62,,,,,,2011-12,Rabi,,443.0,,,379.0,,,0.8555304740406321
63,,,,,,2012-13,Rabi,,301.0,,,367.0,,,1.2192691029900333
64,,,,,RAMPUR,,,,,,,,,,
65,,,,,,1998-99,Rabi,,3274.0,,,2010.0,,,0.6139279169211973
66,,,,,,2000-01,Rabi,,3022.0,,,2880.0,,,0.9530112508272667
67,,,,,,2001-02,Rabi,,4072.0,,,5371.0,,,1.3190078585461689
68,,,,,,2002-03,Rabi,,3021.0,,,4015.0,,,1.3290301224760015
69,,,,,,2003-04,Rabi,,2256.0,,,2418.0,,,1.071808510638298
70,,,,,,2006-07,Rabi,,2618.0,,,1846.0,,,0.705118411000764
71,,,,,,2007-08,Rabi,,1227.0,,,712.0,,,0.5802770986145069
72,,,,,,2008-09,Rabi,,1432.0,,,1118.0,,,0.7807262569832402
73,,,,,,2009-10,Rabi,,1247.0,,,1001.0,,,0.8027265437048918
74,,,,,,2010-11,Rabi,,1207.0,,,846.0,,,0.7009113504556752
75,,,,,,2011-12,Rabi,,2120.0,,,2580.0,,,1.2169811320754718
76,,,,,,2012-13,Rabi,,878.0,,,792.0,,,0.9020501138952164
77,,,,,,2013-14,Rabi,,1714.0,,,2705.0,,,1.5781796966161028
78,,,,,S.RAVI DAS NGR.,,,,,,,,,,
79,,,,,,1998-99,Rabi,,7.0,,,6.0,,,0.8571428571428571
80,,,,,,2000-01,Rabi,,13.0,,,10.0,,,0.7692307692307692
81,,,,,,2001-02,Rabi,,5.0,,,11.0,,,2.2
82,,,,,,2002-03,Rabi,,6.0,,,9.0,,,1.5
83,,,,,,2003-04,Rabi,,6.0,,,7.0,,,1.1666666666666667
84,,,,,,2006-07,Rabi,,1.0,,,1.0,,,1.0
85,,,,,,2009-10,Rabi,,1.0,,,1.0,,,1.0
86,,,,,,2010-11,Rabi,,5.0,,,3.0,,,0.6
87,,,,,,2011-12,Rabi,,4.0,,,3.0,,,0.75
88,,,,,,2013-14,Rabi,,5.0,,,3.0,,,0.6
89,,,,,SAHARANPUR,,,,,,,,,,
90,,,,,,1998-99,Rabi,,5237.0,,,2393.0,,,0.45694099675386673
91,,,,,,2000-01,Rabi,,4137.0,,,3359.0,,,0.8119410200628475
92,,,,,,2001-02,Rabi,,3175.0,,,1661.0,,,0.5231496062992126
93,,,,,,2002-03,Rabi,,3029.0,,,1318.0,,,0.43512710465500165
94,,,,,,2003-04,Rabi,,3066.0,,,1343.0,,,0.43803000652315727
95,,,,,,2006-07,Rabi,,2877.0,,,1214.0,,,0.4219673270768161
96,,,,,,2007-08,Rabi,,2830.0,,,942.0,,,0.3328621908127209
97,,,,,,2008-09,Rabi,,3516.0,,,1280.0,,,0.3640500568828214
98,,,,,,2009-10,Rabi,,2201.0,,,1712.0,,,0.7778282598818719
99,,,,,,2010-11,Rabi,,2339.0,,,1186.0,,,0.5070542967079948
100,,,,,,2011-12,Rabi,,1924.0,,,891.0,,,0.4630977130977131
101,,,,,,2012-13,Rabi,,1589.0,,,1522.0,,,0.9578351164254247
102,,,,,,2013-14,Rabi,,2167.0,,,1729.0,,,0.7978772496538994
103,UTTAR PRADESH,,,,,,,,,,,,,,
104,,,Masoor,,,,,,,,,,,,
105,,,,,SAMBHAL,,,,,,,,,,
106,,,,,,2012-13,Rabi,,811.0,,,732.0,,,0.9025893958076449
107,,,,,,2013-14,Rabi,,940.0,,,1483.0,,,1.577659574468085
108,,,,,SANT KABIR NGR.,,,,,,,,,,
109,,,,,,1998-99,Rabi,,679.0,,,532.0,,,0.7835051546391754
